CMFILE,DEATHSA,DEATHSB,DISPUTE,FATALAPC,FATALBPC,RIVALA,RIVALB,RIVALRY,RIVNUMB,RIVTYP2,SEVERITY,WARNUMB
cm002020v5,.,.,2952,0,0,2,20,2020,1,2,6,.
cm002020v5,.,.,2953,0,0,2,20,2020,1,2,6,.
cm002020v5,.,.,2968,0,0,2,20,2020,1,2,6,.
cm002020v5,.,.,3900,0,0,2,20,2020,1,2,6,.
cm002020v5,.,.,3972,0,0,2,20,2020,1,2,6,.
cm002020v5,.,.,4183,0,0,2,20,2020,1,2,6,.
cm002040v5,.,.,61,0,0,2,40,2040,4,2,95,.
cm002040v5,.,.,246,0,0,2,40,2040,4,2,53,.
cm002040v5,.,.,1742,0,0,2,40,2040,4,2,2,.
cm002040v5,.,.,2225,0,0,2,40,2040,4,2,4,.
cm002040v5,.,.,2742,0,0,2,40,2040,4,2,4,.
cm002040v5,.,.,2943,0,0,2,40,2040,4,2,22,.
cm002040v5,.,.,2946,0,0,2,40,2040,4,2,95,.
cm002040v5,.,.,2951,0,0,2,40,2040,4,2,6,.
cm002040v5,.,.,2954,0,0,2,40,2040,4,2,6,.
cm002040v5,.,.,2958,0,0,2,40,2040,4,2,6,.
cm002040v5,.,.,2962,0,0,2,40,2040,4,2,6,.
cm002040v5,.,.,2972,0,0,2,40,2040,4,2,29,.
cm002040v5,.,.,2981,0,0,2,40,2040,4,2,4,.
cm002040v5,.,.,3058,17,6,2,40,2040,4,2,132,.
cm002040v5,.,.,3950,0,0,2,40,2040,4,2,53,.
cm002040v5,.,.,4196,0,0,2,40,2040,4,2,6,.
cm002040v5,.,.,1652,0,0,2,40,2040,10002,2,2,.
cm002040v5,.,.,1665,0,0,2,40,2040,10002,2,2,.
cm002040v5,.,.,1677,0,0,2,40,2040,10002,2,22,.
cm002041v5,.,.,1002,0,0,2,41,2041,8,1,53,.
cm002041v5,.,.,4016,0,0,2,41,2041,9,1,53,.
cm002041v5,.,.,100,0,0,2,41,2041,10005,2,6,.
cm002041v5,.,.,1529,0,0,2,41,2041,10005,2,4,.
cm002041v5,.,.,1530,0,0,2,41,2041,10005,2,53,.
cm002041v5,.,.,1531,0,0,2,41,2041,10005,2,2,.
cm002041v5,.,.,1532,0,0,2,41,2041,10005,2,4,.
cm002041v5,.,.,1599,0,0,2,41,2041,10005,2,4,.
cm002041v5,.,.,1681,0,0,2,41,2041,10005,2,2,.
cm002041v5,.,.,2234,0,0,2,41,2041,10005,2,4,.
cm002042v5,.,.,68,0,0,2,42,2042,10,2,4,.
cm002042v5,.,.,69,0,0,2,42,2042,10,2,6,.
cm002042v5,.,.,247,0,0,2,42,2042,10,2,4,.
cm002042v5,.,.,322,0,0,2,42,2042,10,2,6,.
cm002042v5,.,.,1801,0,0,2,42,2042,11,1,4,.
cm002042v5,.,.,2867,0,0,2,42,2042,11,1,6,.
cm002055v5,.,.,3058,129,44,2,55,2055,12,1,155,.
cm002070v5,.,.,1541,0,0,2,70,2070,13,2,95,.
cm002070v5,.,.,1542,0,0,2,70,2070,13,2,6,.
cm002070v5,.,.,1543,0,0,2,70,2070,13,2,4,.
cm002070v5,.,.,1544,0,0,2,70,2070,13,2,95,.
cm002070v5,.,.,1545,0,0,2,70,2070,13,2,4,.
cm002070v5,.,.,1547,0,0,2,70,2070,13,2,4,.
cm002070v5,.,.,1548,0,0,2,70,2070,13,2,4,.
